p_name,fit_goal,author,days_per_wk,equipment array,p_type,exp_lvl,gender,p_ummary,cover_img,shares,stars,votes,comment_count
SPLASH Training - Specific Periodized Linear Advanced Strength + Hypertrophy,Build Muscle,Billy Porter,6,"Barbell, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male						
					","Amplify your gains with SPLASH training, an advanced 6-day muscle building workout system that has you training both your bench press and squat three times per week.",,0,4.8,33,58
Stephen Amelläó»s Arrow Workout: Strength & Functional Training,Increase Strength,Brad Borland,3,"Barbell, Bodyweight, Cables, Dumbbells, Kettle Bells, Other",Full Body,Intermediate,"
						Male & Female						
					","Ready to get superhero shredded? Gain strength, build muscle, and burn fat with this full body routine inspired by Arrow's Stephen Amell.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/stephen-amell-arrow-workout.jpg,0,4.7,6,10
Steve Kuclo's Powerhouse Shoulder Workout at Muscle & Strength Gym,Build Muscle,M&S Team,1,"Cables, Dumbbells, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					",Steve Kuclo's photo shoot turned into an intense training session. 150lbs overhead presses and machines filled to max capacity; you don't want to miss this!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/steve-feature.jpg,0,5,8,0
Steve's Density And Strength 4 Day Split,Build Muscle,M&S Writers,4,"Barbell, Bodyweight, Dumbbells, Machines",Split,Intermediate,"
						Male & Female						
					",This 4 day split by Steve Shaw is a powerbuilding system designed to propel intermediate lifters towards faster muscle mass and strength gains.,,0,4.9,227,583
Super-8 Three Day Bodybuilding Workout Plan,Build Muscle,M&S Team,3,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					",Take your gains to a whole new level with this challenging muscle building system. Super-8 training focuses on ramping sets of eight on big compound movements.,,0,5,19,37
Superset & Triset Chest And Back Workout By MusclePharm,Build Muscle,Cory Gregory,1,"Barbell, Bodyweight, Cables, Dumbbells",Single Muscle Group,Intermediate,"
						Male & Female						
					","Blast your back and chest in the same workout with this high volume, intense superset and triset-focused training plan from Cory Gregory and MusclePharm.",,0,4.8,14,8
The 12-Week Clear Muscle Challenge Workout,Build Muscle,Team MuscleTech,3,"Bands, Barbell, Bodyweight, Cables, Dumbbells, Machines",Full Body,Advanced,"
						Male						
					","Paired with MuscleTech's Clear Muscle, this workout is designed to build muscle through a 3-phase training protocol that focuses on hypertrophy, power, and strength!",,0,5,14,33
The 15 Minute Total Body Beatdown,Build Muscle,Coach Dustin Myers,1,Barbell,Full Body,Intermediate,"
						Male & Female						
					",Got 15 minutes? Then you have time to add Time Frame Training to your routine for a short but intense total body muscle building workout.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/15-minute-total-body-beatdown.jpg,0,5,2,1
"The Anti-Hero Training Plan: Build Big, Brutal Muscle & Strength",Build Muscle,Brad Borland,4,"Barbell, Bodyweight, Dumbbells",Split,Beginner,"
						Male & Female						
					","Nothing pretty here! You're about to become a big, bad anti-hero behemoth. This no frills, get it done 4 day workout split will help you pack on both muscle and strength.",,0,5,53,47
The Best Shoulder Workout You've Never Tried,Build Muscle,Roger äóìRockäó Lockridge,1,"Barbell, Dumbbells, Other",Single Muscle Group,Beginner,"
						Male & Female						
					",This unconventional shoulder workout is perfect if you've hit a plateau or are looking for a challenge. Try it for 8 weeks and marvel at your massive shoulders!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/best-shoulder-workout.jpg,0,4.3,7,1
The Ex-Hardgainer Workout And Eating Plan,Build Muscle,M&S Team,3,"Barbell, Bodyweight, Dumbbells",Full Body,Beginner,"
						Male & Female						
					","Tired of being a hardgainer? This program contains a detailed workout and progression scheme, along with eating advice and a sample daily diet plan.",,0,4.9,168,705
The Giant Set Routine!,Build Muscle,Doug Lawrenson,3,"Barbell, Dumbbells, EZ Bar, Machines",Split,Advanced,"
						Male & Female						
					","Stuck in a plateau? Blast your muscles with this giant set routine! The routine is short and intense, and hits each muscle group with 3 massive supersets. ",,0,5,52,192
The LOHILO Muscle Building System,Build Muscle,Brian Turner,6,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					","When using LoHiLo you will alternate between intense superset-focused weeks and the 12 to 16 rep range, and strength focused weeks that utilize 2 reps per set.",,0,5,11,22
The Power Pump Routine,Build Muscle,Jim Brewster,3,"Barbell, Dumbbells, EZ Bar, Machines, Other",Split,Intermediate,"
						Male & Female						
					","A complete push, pull, legs muscle building workout program. Includes information on recovery, nutritional guidelines and supplement advice.",,0,4.1,15,31
The Punisher Vol. II: A Ruthless Full Body Fat Burning Workout,Build Muscle,Eric Brown,2,Kettle Bells,Full Body,Intermediate,"
						Male & Female						
					",Do you have what it takes? Eric Brown's twist on his Punisher workout takes simple kettlebell moves and turns them into an intense total body workout.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/the-punisher-workout.jpg,0,4.5,11,0
The Punisher: A Relentless Better Body Workout,Build Muscle,Eric Brown,1,"Bodyweight, Dumbbells, Other",Full Body,Intermediate,"
						Male & Female						
					","Eric Brown delivers a workout with a wallop. The Punisher is deceptively simple, comprised of 5 movements: walking lunges, bent-over rows, push ups, burpees and a sprint.",,0,5,44,51
The Ripped Freak Training Program,Build Muscle,Alex Savva,5,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Full Body,Intermediate,"
						Male & Female						
					","Get the most out of your workout with the The Ripped Freak Training Program and 5-Minute Ripped Solution, designed to help you maximize muscle growth, increase performance, and burn fat! ",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/doing_barbell_curls_for_the_ripped_freak_program.jpg,0,4.6,9,52
The Routine That Blew Up The Machine Marc Lobliner,Build Muscle,Machine Militia,5,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					","This workout is not a game! Machine Militia, listen up: this is the exact training routine that helped MTS CEO Marc Lobliner blow up his lagging back and delts.",,0,4.9,13,9
The Squeeze Method For Building A Big Defined Chest,Build Muscle,M&S Team,1,"Dumbbells, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					","The Muscle & Strength team travels to Columbus, OH and learns about the squeeze method from MuscleTech Athlete, Santi Aragon. Give this method a shot!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/squeeze-method-feature.jpg,0,5,1,0
The Tactical Physique: A Functional Strength & Conditioning Workout,General Fitness,Brad Borland,4,"Barbell, Bodyweight, Dumbbells, Other",Split,Intermediate,"
						Male & Female						
					","Build a body that performs as good as it looks. This 5 day program by Brad Borland features functional full body workouts, supersets, bodyweight and conditioning work.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/tact800.jpg,0,4.2,43,99
The Weekend Warrior Workout,Build Muscle,Brad Borland,3,"Barbell, Bodyweight, Dumbbells, Kettle Bells",Full Body,Beginner,"
						Male & Female						
					",Hoping to be crowned MVP of your intramural team? Gain the edge during the course of the week and become a true weekend warrior with this workout!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/weekend-warrior-feature.jpg,0,3.5,2,0
This Workout Just Might Kill You...Or Make You Grow - You Decide,Build Muscle,Roger äóìRockäó Lockridge,1,"Barbell, Bodyweight, Dumbbells",Single Muscle Group,Advanced,"
						Male & Female						
					","1 hour. 1 body part. 50,000 pounds. Are you up for the ultimate high volume workout challenge? This is NOT an ordinary workout, so proceed with caution!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/killer-workout-volume-challenge.jpg,0,4.2,5,3
Three 10-Minute At Home Upper Body Workouts,Build Muscle,Mike Samuels,1,"Bands, Bodyweight",Split,Beginner,"
						Male & Female						
					",Don't let the busyness of life hold you back from making progress. Challenge yourself at home with these three brief but effective upper body sessions.,,0,4.6,14,4
Total Body Beatdown: A German Volume Training Routine,Build Muscle,Coach Dustin Myers,3,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Full Body,Intermediate,"
						Male & Female						
					","Whether you only have time to make it to the gym a few times during the week or you want to annihilate your entire body, we've got the workout for you!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/gvt-feature.jpg,0,4.6,10,3
Train Like An Olympian: Branch Warren's Leg Workout,Build Muscle,Ron Harris,1,"Barbell, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					",Top Olympian and Team Gaspari member Branch Warren has some of the biggest wheels to ever hit a bodybuilding stage. This feature takes an inside look at his high impact leg workout.,,0,5,7,1
Training for the Older Athlete: Making Gains After 40,Build Muscle,Brad Borland,4,"Barbell, Bodyweight, Cables, Dumbbells",Split,Beginner,"
						Male & Female						
					","They say Father Time is undefeated, but that doesn't mean you can't make gains all of your life. Check out these training strategies for older athletes.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/older-athlete-new-feature.jpg,0,4.5,6,0
Troy's 3 Day Maintenance Workout,Build Muscle,Troy A. Dolfi,3,"Barbell, Cables, Dumbbells, Machines",Split,Intermediate,"
						Male & Female						
					","A variation on the classic push, pull, legs split, working shoulders and back on the same day, and biceps with legs. This workout was designed by Troy (tadolfi).",,0,5,18,45
Ultimate Bench Press Workout: Increase Strength And Chest Size,Build Muscle,Lee Boyce,1,"Barbell, Bodyweight, Cables",Single Muscle Group,Beginner,"
						Male & Female						
					",Looking for a way to add size and strength to your chest muscle? This bench press workout is designed to build massive pecs while putting up big numbers on bench!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/ultimate_bench_press_workout.jpg,0,4.7,3,2
Upper/Lower 4 Day Gym Bodybuilding Split Workout,Build Muscle,M&S Team,4,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Beginner,"
						Male & Female						
					","Reach your muscle building goals with this balanced 4 day training split that mixes heavy compound exercises, machines, cables and incorporates 3 second negatives.",,0,4.5,52,65
"VCS 3 Stage Back Workout - Volume, Cluster & Strength Training",Build Muscle,M&S Team,1,"Barbell, Bodyweight, Dumbbells, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					","Build a beefy back using 3 distinct and powerful cycles. Lift rotation focuses on heavy strength building exercises, muscle building volume work and pump-inducing cluster sets.",,0,4.8,5,10
VTS - The Complete Venom Training System Program,Build Muscle,Maurice Bright ,5,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines, Other",Split,Intermediate,"
						Male & Female						
					",Unleash your inner beast and reach your bodybuilding goals with this unique and comprehensive five day muscle building split workout from Maurice Bright.,,0,5,19,16
"Wild 20 Powerbuilding Workout: Get Crazy, Get Big & Strong",Build Muscle,M&S Writers,4,"Barbell, Cables, Dumbbells, Machines",Split,Intermediate,"
						Male & Female						
					","Bust out of your training rut and blast through muscle and strength building plateaus using a unique combination of 5, 10 and 20 rep sets. This program delivers results.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/wild_20_feature.jpg,0,4.4,37,136
"Your Complete Blue Print For A Leaner, More Muscular Body",Build Muscle,Brad Borland,3,"Barbell, Bodyweight, Dumbbells",Split,Beginner,"
						Male & Female						
					","Life getting in the way of consistent training? Brad Borland presents a flexible system that allows you to workout, 2-4 times per week depending on your schedule.",,0,4.8,38,6
